Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
8,original,CT,0.0,0.15815815815815815
8,original,LDA,0.0,0.35735735735735735
8,ldbk,CT,0.0,0.17417417417417416
8,ldbk,LDA,0.1414141414141414,0.17617617617617617
8,ldbkash,CT,0.0,0.48148148148148145
8,ldbkash,LDA,0.31313131313131315,0.4984984984984985
8,ldbkemd,CT,0.0,0.09109109109109109
8,ldbkemd,LDA,0.10101010101010101,0.12512512512512514
64,original,CT,0.0,0.17517517517517517
64,original,LDA,0.0,0.3783783783783784
64,ldbk,CT,0.0,0.1111111111111111
64,ldbk,LDA,0.1111111111111111,0.10710710710710711
64,ldbkash,CT,0.0,0.35535535535535534
64,ldbkash,LDA,0.2828282828282828,0.47047047047047047
64,ldbkemd,CT,0.0,0.07207207207207207
64,ldbkemd,LDA,0.08080808080808081,0.11711711711711711
19,original,CT,0.0,0.18118118118118118
19,original,LDA,0.0,0.27127127127127126
19,ldbk,CT,0.0,0.13513513513513514
19,ldbk,LDA,0.0707070707070707,0.12312312312312312
19,ldbkash,CT,0.0,0.45645645645645644
